 Theta    SIN(Theta) COS(Theta) TAN(Theta)
 -----------------------------------------
  0.0      0.0000      1.0000      0.0000
  0.1      0.0998      0.9950      0.1003
  0.2      0.1987      0.9801      0.2027
  0.3      0.2955      0.9553      0.3093
  0.4      0.3894      0.9211      0.4228
  0.5      0.4794      0.8776      0.5463
  0.6      0.5646      0.8253      0.6841
  0.7      0.6442      0.7648      0.8423
  0.8      0.7174      0.6967      1.0296
  0.9      0.7833      0.6216      1.2602
  1.0      0.8415      0.5403      1.5574
  1.1      0.8912      0.4536      1.9648
  1.2      0.9320      0.3624      2.5722
  1.3      0.9636      0.2675      3.6021
  1.4      0.9854      0.1700      5.7979
  1.5      0.9975      0.0707     14.1014
  1.6      0.9996     -0.0292    -34.2325
  1.7      0.9917     -0.1288     -7.6966
  1.8      0.9738     -0.2272     -4.2863
  1.9      0.9463     -0.3233     -2.9271
  2.0      0.9093     -0.4161     -2.1850
  2.1      0.8632     -0.5048     -1.7098
  2.2      0.8085     -0.5885     -1.3738
  2.3      0.7457     -0.6663     -1.1192
  2.4      0.6755     -0.7374     -0.9160
  2.5      0.5985     -0.8011     -0.7470
  2.6      0.5155     -0.8569     -0.6016
  2.7      0.4274     -0.9041     -0.4727
  2.8      0.3350     -0.9422     -0.3555
  2.9      0.2392     -0.9710     -0.2464
  3.0      0.1411     -0.9900     -0.1425
  3.1      0.0416     -0.9991     -0.0416
  3.2     -0.0584     -0.9983      0.0585
  
  
  
 DEG     SIN(DEG)   COS(DEG)   TAN(DEG)
 --------------------------------------
    0     0.0000     1.0000     0.0000
    5     0.0872     0.9962     0.0875
   10     0.1736     0.9848     0.1763
   15     0.2588     0.9659     0.2679
   20     0.3420     0.9397     0.3640
   25     0.4226     0.9063     0.4663
   30     0.5000     0.8660     0.5774
   35     0.5736     0.8192     0.7002
   40     0.6428     0.7660     0.8391
   45     0.7071     0.7071     1.0000
   50     0.7660     0.6428     1.1918
   55     0.8192     0.5736     1.4281
   60     0.8660     0.5000     1.7321
   65     0.9063     0.4226     2.1445
   70     0.9397     0.3420     2.7475
   75     0.9659     0.2588     3.7321
   80     0.9848     0.1736     5.6713
   85     0.9962     0.0872    11.4300
   90     1.0000    -0.0000***********
   95     0.9962    -0.0872   -11.4300
  100     0.9848    -0.1736    -5.6713
  105     0.9659    -0.2588    -3.7321
  110     0.9397    -0.3420    -2.7475
  115     0.9063    -0.4226    -2.1445
  120     0.8660    -0.5000    -1.7321
  125     0.8192    -0.5736    -1.4281
  130     0.7660    -0.6428    -1.1918
  135     0.7071    -0.7071    -1.0000
  140     0.6428    -0.7660    -0.8391
  145     0.5736    -0.8192    -0.7002
  150     0.5000    -0.8660    -0.5774
  155     0.4226    -0.9063    -0.4663
  160     0.3420    -0.9397    -0.3640
  165     0.2588    -0.9659    -0.2679
  170     0.1736    -0.9848    -0.1763
  175     0.0872    -0.9962    -0.0875
  180    -0.0000    -1.0000     0.0000
